BMT:4th Avenue:25 St:R,,,,,,,,,,:FALSE::FALSE:Stair:YES::FULL:4th Ave:25th St:SE:40660323:-73997952
IND:6th Avenue:Delancey St-Essex St:F,J,M,Z,,,,,,,:FALSE::TRUE:Escalator:NO:YES:FULL:Essex St:Delancey St:NE:40718841:-73987902
IND:6th Avenue:East Broadway:F,,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:Essex St:Canal St:NE:40714404:-73989918
IND:6th Avenue:Grand St:B,D,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Chrystie St:Grand St:NE:40718155:-73993452
IND:6th Avenue:York St:F,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Jay St:York St:SW:40701380:-73986655
IND:8th Avenue:103 St:B,C,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Central Park W:103rd St:NW:40796263:-73961610
IND:8th Avenue:116 St:B,C,,,,,,,,,:FALSE::FALSE:Stair:YES::NONE:Frederick Douglass Blvd:116th St:NE:40804428:-73955024
IND:8th Avenue:125 St:A,B,C,D,,,,,,,:FALSE::TRUE:Stair:YES::NONE:Saint Nicholas Av:127th St:SE:40811858:-73951351
IND:8th Avenue:135 St:B,C,,,,,,,,,:FALSE::FALSE:Stair:YES::NONE:Edgecombe Av:135th St:NE:40817188:-73947665
IND:8th Avenue:14 St:A,C,E,L,,,,,,,:TRUE::TRUE:Stair:YES::FULL:8th Av:16th St:NE:40741046:-74001284
IND:8th Avenue:145 St:A,B,C,D,,,,,,,:FALSE::TRUE:Stair:YES::NONE:Saint Nicholas Av:147th St:NE:40825581:-73943444
IND:8th Avenue:155 St:C,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Saint Nicholas Av:155th St:NE:40830921:-73941100
IND:8th Avenue:163 St-Amsterdam Av:C,,,,,,,,,,:FALSE::FALSE:Stair:YES::FULL:Amsterdam Av:161st St:SE:40835192:-73940146
IND:8th Avenue:168 St:A,C,1,,,,,,,,:TRUE:1 not ADA:TRUE:Stair:YES::NONE:Broadway:169th St:NE:40841760:-73939067
IND:8th Avenue:175 St:A,,,,,,,,,,:TRUE::TRUE:Stair:YES::FULL:Fort Washington Av:177th St:NE:40847859:-73939303
IND:8th Avenue:181 St:A,,,,,,,,,,:FALSE::TRUE:Door:YES::FULL:Fort Washington Av:185th St:SE:40852759:-73936636
IND:8th Avenue:190 St:A,,,,,,,,,,:FALSE::TRUE:Door:YES::FULL:Fort Washington Av:192nd St:NW:40858899:-73932702
IND:8th Avenue:23 St:C,E,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:8th Av:25th St:NE:40746483:-73997142
IND:8th Avenue:34 St-Penn Station:A,C,E,,,,,,,,:TRUE::TRUE:Elevator:YES::FULL:8th Av:34th St:SE:40751996:-73993327
IND:8th Avenue:42 St-Port Authority Bus Terminal:A,C,E,N,Q,R,GS,1,2,3,7:TRUE:Shuttle not ADA:TRUE:Stair:YES::NONE:8th Av:44th St:SE:40758401:-73988673
IND:8th Avenue:50 St:C,E,,,,,,,,,:TRUE:Southbound Only:FALSE:Stair:YES::NONE:8th Av:51st St:NE:40762900:-73985412
IND:8th Avenue:59 St-Columbus Circle:A,B,C,D,1,,,,,,:TRUE:In Construction:TRUE:Stair:YES::FULL:8th Av:58th St:NE:40767367:-73982137
IND:8th Avenue:72 St:B,C,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Central Park West:72nd St:NW:40776431:-73975977
IND:8th Avenue:81 St-Museum of Natural History:B,C,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Central Park West:81st St:NW:40782254:-73971741
IND:8th Avenue:86 St:B,C,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:Central Park West:88th St:NW:40786769:-73968448
IND:8th Avenue:96 St:B,C,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:Central Park West:97th St:NW:40792591:-73964316
IND:8th Avenue:Canal St:A,C,E,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:6th Av:West Broadway:NW:40720758:-74005399
IND:8th Avenue:Cathedral Pkwy (110 St):B,C,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:Frederick Douglass Blvd:Cathedral Pkwy:SW:40800866:-73958405
IND:8th Avenue:Chambers St:A,C,E,2,3,,,,,,:FALSE::TRUE:Stair:YES::NONE:Church St:Chambers St:NE:40714992:-74007739
IND:8th Avenue:Dyckman St:A,,,,,,,,,,:FALSE::TRUE:Stair:NO:YES:NONE:Broadway:Dyckman St:NE:40865342:-73926964
